processid	sampleid	bin_uri	genus_name	lat	lon
GBGL9964-12	HM051943	BOLD:ACB5090	Oleria	-8.52272	-74.1142
GBLN1419-08	EU069097	BOLD:AAD3233	Oleria	-0.5	-76.37
GBMIN22182-13	JF451041	BOLD:ACF4280	Mechanitis	-0.4659	-76.8442
GBMIN70867-17	KR150543	BOLD:AAC5742	Euploea	-18.72	146.3
GBMNC57026-20	MH675603	BOLD:ABY8587	Danaus	29.99	78.28
GBMNC57129-20	MH635347	BOLD:ABX5122	Danaus	29.22	79.28
MHAAC174-06	05-SRNP-6237	BOLD:AAC6546	Ithomia	10.866	-85.396
MHAAC184-06	05-SRNP-66000	BOLD:AAA8547	Greta	10.759	-85.373
MHMYK6138-15	15-SRNP-35002	BOLD:AAA6396	Greta	10.9247	-85.4674
RDBBC410-05	CSG22873 CA WA	BOLD:AAA4400	Speyeria	48.742	-120.68
ACRJP007-09	BC-MNHNJP0289	BOLD:AAD4067	Acraea	-0.5	32.5
BKKP544-18	3WRW002	BOLD:AAW6756	Cethosia	13.848	100.775
BLPDV1571-18	17-SRNP-36243	BOLD:AAB9625	Pteronymia	10.89	-85.4797
EZBNA284-07	EZ1283CNC	BOLD:AAA4400	Speyeria	49.067	-112.5
GBCAB7268-24	ON586764	BOLD:AAB2344	Fabriciana	57.6986	18.724
GBGL29056-19	LT795201	BOLD:AAA3397	Boloria	46.6424	2.19402
GBLN1411-08	EU069105	BOLD:AAD9446	Pteronymia	-0.52	-76.4
GBMIN22144-13	JF450936	BOLD:ACR2721	Mechanitis	-0.4978	-76.3742
GBMIN85237-17	KP007548	BOLD:ABA1355	Amauris	0.689918	37.9531
GBMNE59781-22	MZ026228	BOLD:ACE8778	Fabriciana	42.2398	-6.45583
GBMNE59843-22	MZ026160	BOLD:AAB2322	Argynnis	38.16	15.88
GBMNE59852-22	MZ026170	BOLD:AAB2322	Argynnis	55.12	14.9
GBMNE59883-22	MZ026204	BOLD:ABY9182	Fabriciana	40.2046	21.0637
GMSAV3022-18	BIOUG37433-E08	BOLD:AAS0558	NA	-26.0264	27.5448
GWORK308-09	BC ZSM Lep 21543	BOLD:AAA3397	Boloria	47.8167	11.45
LEPIG338-11	MACN-Bar-Lep-ct 02250	BOLD:AAC7292	Actinote	-25.715	-54.4408
LNOA1024-16	MACN-Bar-Lep-ct 08129	BOLD:AAZ7818	Danaus	-27.2859	-65.876
MHMYK984-11	10-SRNP-36116	BOLD:AAA8568	Dircenna	10.9269	-85.4682
NELEP005-24	CAM070632	BOLD:AAA9199	Napeogenes	-1.10569	-77.5884
NOB080-17	CCDB-23376 G08	BOLD:ACF4809	NA	-9.49528	-75.9669
ONTB10346-23	BIOUG91402-H02.ONT3	BOLD:AAA8547	Greta	9.974	-84.093
RDBBC475-05	CSG22983 CA WA	BOLD:ABZ4893	Speyeria	48.386	-120.24
TALOA3826-22	BIOUG89992-C10	BOLD:AAA3398	Boloria	69.589	-93.463
THAMG6959-23	BIOUG98698-B01	BOLD:AAR9267	NA	14.503	101.925
THAMG6964-23	BIOUG98698-B06	BOLD:AAR9267	NA	14.503	101.925
TRIHL903-22	IAvH-TRI-A1752	BOLD:AAC7209	Heliconius	3.05714	-75.3892
UAMIC3203-15	KWP:Ento:29456	BOLD:AAC2010	Boloria	65.479	-145.421
ABOLD030-16	TLMF Lep 21108	BOLD:ACE7514	Boloria	47.717	15.767
ABOLD596-17	TLMF Lep 21672	BOLD:AAA3397	Boloria	47.805	15.4486
ACGIN159-11	11-SRNP-31265	BOLD:AAC3568	Heliconius	10.9835	-85.4212
ACRJP078-09	BC-MNHNJP0360	BOLD:AAD9185	Acraea	6.53333	-3
BLPAA11789-18	17-SRNP-35056	BOLD:AAA6396	Greta	10.9271	-85.4668
BLPAA38920-22	21-SRNP-35017	BOLD:AAA6396	NA	10.927	-85.467
BLPAA39136-23	20-SRNP-133	BOLD:AAA8568	Dircenna	10.9004	-85.3725
BPAL3387-16	CCDB-25452 F02	BOLD:AAA9312	Brenthis	59.0394	98.6705
BPALB417-17	CCDB-23846 D01	BOLD:AEX1951	NA	-8.52272	-74.1142
BPALB443-17	CCDB-23846 F03	BOLD:ADK9490	NA	-8.52272	-74.1142
CROAD41586-22	BIOUG77710-G03	BOLD:AAB9301	Tithorea	9.262	-83.874
EZBNA002-07	EZ1001CNC	BOLD:AAA5114	Boloria	61.427	-126.573
EZHBA452-07	CSG08570	BOLD:AAB1747	Boloria	54.98	82.89
