processid	sampleid	bin_uri	genus_name	lat	lon
CRALB37818-21	BIOUG72556-F01	BOLD:AEM6739	ichneuMalaise01	9.015	-83.004
CRBOE8314-23	CBG-A04469-C04	BOLD:ADB5487	NA	10.759	-85.009
CRCBA41020-22	BIOUG89942-E10	BOLD:ADV3063	Carinodes	10.327	-84.08
CRPED39912-21	BIOUG64400-C07	BOLD:ACG8317	Setanta	9.973	-84.094
GMLCL6187-23	CBG-A16698-D12	BOLD:AFN4656	Linycus	34.4009	35.8067
GMOYI027-19	BIOUG45170-C03	BOLD:ABZ7151	NA	62.5347	-113.976
HCWC707-06	DHJPAR0009291	BOLD:AAB7863	Joppa	11.027	-85.495
HYMPK045-23	NHMO-ENT-645879	BOLD:AAJ6708	Achaius	59.195	10.109
JIEAA833-16	BIOUG30496-A01	BOLD:ADB0819	ichneuMalaise01	10.76	-85.334
JIEAA842-16	BIOUG30496-A10	BOLD:ADB0819	ichneuMalaise01	10.76	-85.334
JSHYM835-11	BIOUG01034-G03	BOLD:AAH2174	NA	44.621	-75.773
JSHYP475-11	BIOUG01291-E01	BOLD:AAG7695	NA	44.621	-75.773
JSHYP507-11	BIOUG01291-G09	BOLD:AAG7630	Linycus	44.621	-75.773
NZICH270-20	NZAC03034918	BOLD:AAV1460	Degithina	-45.819	170.512
OPPOE350-17	BIOUG33402-C08	BOLD:ACF1442	Cratichneumon	44.2829	-77.7963
PLABO105-19	BIOUG49447-A12	BOLD:AEB1486	ichneuMalaise01	10.763	-85.334
PLFDR065-20	BIOUG56978-H03	BOLD:AAJ7564	Setanta	10.763	-85.334
PLGCP032-20	BIOUG56816-C07	BOLD:ACL6490	ichneuMalaise01	10.761	-85.335
PLLAQ008-20	BIOUG51323-C07	BOLD:ACR7317	Carinodes	10.763	-85.334
PLQBN013-20	BIOUG52718-A04	BOLD:ADA8392	ichneuMalaise01	10.76	-85.334
PLWBQ017-20	BIOUG55294-B06	BOLD:AAL1427	Diacantharius	10.763	-85.334
PLXDW015-21	BIOUG58124-A08	BOLD:ADB6570	Carinodes	10.763	-85.334
PLYBK009-20	BIOUG53753-F12	BOLD:ACG8070	Oezdemirus	10.761	-85.335
POBGC1684-15	BIOUG26578-H06	BOLD:AAU8850	NA	45.5594	-73.5668
THAMH9301-23	CBG-A13215-B04	BOLD:ACD7711	NA	19.2039	101.078
ABOTH7432-22	BIOUG95385-F12	BOLD:AAH1663	NA	58.739	-93.823
ASHYC4430-10	DHJPAR0037685	BOLD:AAD0432	Joppa	10.982	-85.428
CBIHM163-17	IAvH-E-180328	BOLD:AEN5901	NA	6.075	-73.822
CNPPE1248-12	BIOUG03442-D12	BOLD:AAH7259	NA	41.939	-82.516
COLMS8813-22	BIOUG97729-G01	BOLD:AAU8831	NA	38.911	-105.199
CRPEC52284-21	BIOUG74857-E04	BOLD:ADA8497	Barichneumon	9.973	-84.094
CRSRA35904-22	BIOUG86476-F04	BOLD:AEP0508	ichneuMalaise01	8.483	-83.591
